id,author,presentationDate,ementa,regime,situation,propositionType,number,city,state,year
0,"Deputado Rodrigo Lopes , Deputada Maria Clara Marra , Deputado Lucas Lasmar , Deputada Ione Pinheiro , Deputado Adriano Alvarenga , Deputado Enes Cândido , Deputado Raul Belém",2023-06-01,Institui a Política Estadual de Apoio e Incentivo às Cidades Inteligentes - Minas Inteligente.,Deliberação em dois turnos no Plenário,Arquivado,PL,789,Belo Horizonte,Minas Gerais,2023
1,Deputada Lohanna,2023-03-23,"Institui, no âmbito do Estado, o Maio Furta-Cor, dedicado às ações de conscientização, incentivo ao cuidado e promoção da saúde mental materna.",Deliberação em dois turnos no Plenário,Arquivado,PL,275,Belo Horizonte,Minas Gerais,2023
2,Deputado Gil Pereira,2024-02-09,"Autoriza o Poder Executivo a doar ao Município de Chapada do Norte o imóvel que especifica. (Destinação: integração administrativa, econômica, assistencial e social do município.)",Deliberação em dois turnos no Plenário,Aguardando parecer em comissão,PL,1875,Belo Horizonte,Minas Gerais,2024
3,Deputado Lucas Lasmar,2023-12-01,Institui a obrigatoriedade de notificação à Secretaria Estadual de Saúde de ocorrências de anafilaxia ou choque anafilático.,Deliberação em dois turnos no Plenário,Aguardando diligência em comissão,PL,1779,Belo Horizonte,Minas Gerais,2023
4,Deputado Antonio Carlos Arantes,2023-11-30,Dispõe sobre desafetação de bem público e autoriza o Poder Executivo a doar ao Município de Guaxupé o trecho que específica. (Destinação: implantação de vias urbanas.),Deliberação em dois turnos no Plenário,Aguardando parecer em comissão,PL,1712,Belo Horizonte,Minas Gerais,2023
5,Deputado Doutor Jean Freire,2023-11-30,"Declara de utilidade pública a Associação Apícola e Agropecuária de Padre Paraíso e Região - Aagroper -, com sede no Município de Padre Paraíso.",Deliberação em turno único nas comissões,Transformado em norma jurídica,PL,1697,Belo Horizonte,Minas Gerais,2023
6,Deputado Doorgal Andrada,2023-11-09,"Declara de utilidade pública a Associação dos Pequenos Produtores Rurais de Rio Melo, com sede no Município de Rio Espera.",Deliberação em turno único nas comissões,Transformado em norma jurídica,PL,1662,Belo Horizonte,Minas Gerais,2023
7,Deputado Gustavo Santana,2023-11-09,"Dá denominação à Rodovia MG-105, que liga o Município de Carlos Chagas ao Município de Pavão.",Deliberação em turno único nas comissões,Aguardando diligência em comissão,PL,1655,Belo Horizonte,Minas Gerais,2023
8,Deputado João Vítor Xavier,2023-10-28,"Declara de utilidade pública o Clube do Cavalo de Curvelo, com sede no Município de Curvelo.",Deliberação em turno único nas comissões,Transformado em norma jurídica,PL,1596,Belo Horizonte,Minas Gerais,2023
9,Deputado Coronel Henrique,2023-10-19,"Declara de utilidade pública a Associação Municipal dos Produtores Artesanais do Queijo Serro de Conceição do Mato Dentro - AMPAQS-CMD -, com sede no Município de Conceição do Mato Dentro.",Deliberação em turno único nas comissões,Transformado em norma jurídica,PL,1553,Belo Horizonte,Minas Gerais,2023
10,Deputado Rodrigo Lopes,2023-10-12,Reconhece como de relevante interesse cultural do Estado a Casa do Café com Leite do Município de Ouro Fino.,Deliberação em dois turnos no Plenário,Transformado em norma jurídica,PL,1494,Belo Horizonte,Minas Gerais,2023
